                                                                              logR
 logT  
+4.650  -0.375  -0.337  -0.263  -0.128  +0.089  +0.398  +0.786  +1.224  +1.691  +2.174  +2.673  +3.191  +3.718  +4.226  +4.681  +5.062  +5.351  
+4.700  -0.373  -0.339  -0.272  -0.146  +0.065  +0.373  +0.771  +1.230  +1.718  +2.212  +2.708  +3.209  +3.713  +4.198  +4.637  +5.007  +5.289  
+4.750  -0.370  -0.338  -0.278  -0.163  +0.035  +0.331  +0.717  +1.173  +1.669  +2.179  +2.687  +3.186  +3.673  +4.138  +4.561  +4.921  +5.199  
+4.800  -0.371  -0.338  -0.282  -0.175  +0.010  +0.290  +0.660  +1.099  +1.585  +2.099  +2.620  +3.128  +3.613  +4.066  +4.477  +4.830  +5.104  
+4.850  -0.372  -0.339  -0.283  -0.181  -0.006  +0.259  +0.611  +1.033  +1.506  +2.015  +2.540  +3.057  +3.548  +4.001  +4.407  +4.752  +5.018  
+4.900  -0.366  -0.333  -0.279  -0.181  -0.014  +0.240  +0.579  +0.988  +1.451  +1.953  +2.475  +2.996  +3.494  +3.952  +4.356  +4.691  +4.942  
+4.950  -0.349  -0.319  -0.267  -0.173  -0.014  +0.231  +0.564  +0.967  +1.422  +1.917  +2.435  +2.956  +3.457  +3.920  +4.320  +4.642  +4.871  
+5.000  -0.311  -0.286  -0.238  -0.151  +0.001  +0.240  +0.569  +0.969  +1.420  +1.908  +2.419  +2.935  +3.435  +3.897  +4.287  +4.589  +4.794  
+5.050  -0.245  -0.222  -0.180  -0.101  +0.040  +0.266  +0.583  +0.977  +1.426  +1.912  +2.417  +2.927  +3.420  +3.871  +4.242  +4.519  +4.701  
+5.100  -0.158  -0.131  -0.088  -0.013  +0.116  +0.322  +0.618  +0.998  +1.441  +1.922  +2.420  +2.920  +3.397  +3.823  +4.167  +4.420  +4.587  
+5.150  -0.086  -0.044  +0.013  +0.095  +0.222  +0.412  +0.684  +1.042  +1.470  +1.938  +2.424  +2.906  +3.354  +3.744  +4.057  +4.292  +4.455  
+5.200  -0.061  +0.002  +0.081  +0.184  +0.326  +0.517  +0.773  +1.104  +1.508  +1.957  +2.424  +2.877  +3.286  +3.635  +3.920  +4.144  +4.312  
+5.250  -0.087  -0.007  +0.093  +0.220  +0.385  +0.591  +0.844  +1.157  +1.536  +1.963  +2.407  +2.826  +3.195  +3.505  +3.768  +3.988  +4.166  
+5.300  -0.151  -0.063  +0.049  +0.193  +0.378  +0.603  +0.868  +1.178  +1.540  +1.945  +2.364  +2.754  +3.087  +3.368  +3.614  +3.834  +4.023  
+5.350  -0.234  -0.147  -0.035  +0.113  +0.308  +0.553  +0.840  +1.163  +1.519  +1.906  +2.302  +2.666  +2.973  +3.231  +3.467  +3.687  +3.884  
+5.400  -0.317  -0.239  -0.135  +0.008  +0.204  +0.461  +0.770  +1.112  +1.473  +1.851  +2.229  +2.572  +2.857  +3.100  +3.329  +3.549  +3.751  
+5.450  -0.381  -0.319  -0.228  -0.096  +0.094  +0.352  +0.676  +1.038  +1.413  +1.790  +2.154  +2.478  +2.746  +2.977  +3.201  +3.422  +3.626  
+5.500  -0.423  -0.380  -0.306  -0.189  -0.011  +0.244  +0.577  +0.958  +1.350  +1.729  +2.082  +2.389  +2.643  +2.865  +3.085  +3.305  +3.511  
+5.550  -0.446  -0.420  -0.368  -0.272  -0.110  +0.140  +0.481  +0.880  +1.288  +1.670  +2.014  +2.307  +2.548  +2.764  +2.980  +3.199  +3.406  
+5.600  -0.456  -0.441  -0.408  -0.338  -0.200  +0.039  +0.385  +0.802  +1.225  +1.614  +1.951  +2.232  +2.463  +2.673  +2.886  +3.103  +3.313  
+5.650  -0.458  -0.449  -0.429  -0.382  -0.275  -0.062  +0.278  +0.709  +1.155  +1.557  +1.893  +2.165  +2.390  +2.596  +2.804  +3.019  +3.236  
+5.700  -0.459  -0.452  -0.438  -0.406  -0.328  -0.152  +0.165  +0.602  +1.073  +1.495  +1.837  +2.106  +2.327  +2.529  +2.733  +2.945  +3.168  
+5.750  -0.460  -0.453  -0.441  -0.415  -0.356  -0.217  +0.064  +0.490  +0.978  +1.423  +1.778  +2.050  +2.271  +2.471  +2.671  +2.878  +3.104  
+5.800  -0.461  -0.454  -0.442  -0.419  -0.370  -0.257  -0.014  +0.386  +0.877  +1.342  +1.713  +1.994  +2.218  +2.419  +2.615  +2.819  +3.046  
+5.850  -0.462  -0.456  -0.444  -0.421  -0.377  -0.278  -0.067  +0.299  +0.778  +1.255  +1.643  +1.935  +2.166  +2.370  +2.566  +2.769  +2.997  
+5.900  -0.462  -0.456  -0.445  -0.423  -0.381  -0.291  -0.102  +0.233  +0.691  +1.170  +1.572  +1.877  +2.117  +2.325  +2.521  +2.723  +2.948  
+5.950  -0.460  -0.455  -0.445  -0.424  -0.384  -0.299  -0.123  +0.190  +0.627  +1.099  +1.510  +1.826  +2.075  +2.287  +2.480  +2.673  +2.894  
+6.000  -0.457  -0.451  -0.441  -0.423  -0.385  -0.303  -0.134  +0.165  +0.584  +1.046  +1.458  +1.783  +2.040  +2.254  +2.440  +2.624  +2.843  
+6.100  -0.453  -0.443  -0.429  -0.410  -0.375  -0.302  -0.149  +0.123  +0.510  +0.953  +1.369  +1.712  +1.979  +2.184  +2.354  +2.525  +2.742  
+6.200  -0.462  -0.450  -0.430  -0.399  -0.354  -0.280  -0.143  +0.098  +0.453  +0.880  +1.297  +1.641  +1.897  +2.075  +2.222  +2.387  +2.620  
+6.300  -0.469  -0.465  -0.453  -0.423  -0.366  -0.270  -0.121  +0.109  +0.438  +0.836  +1.226  +1.540  +1.761  +1.915  +2.057  +2.237  +2.490  
+6.400  -0.471  -0.470  -0.466  -0.452  -0.414  -0.320  -0.146  +0.109  +0.435  +0.793  +1.122  +1.382  +1.570  +1.719  +1.879  +2.086  +2.353  
+6.500  -0.473  -0.472  -0.470  -0.463  -0.443  -0.380  -0.229  +0.032  +0.363  +0.691  +0.965  +1.180  +1.352  +1.515  +1.705  +1.938  +2.209  
+6.600  -0.474  -0.473  -0.472  -0.468  -0.455  -0.415  -0.307  -0.091  +0.210  +0.516  +0.766  +0.962  +1.135  +1.318  +1.539  +1.797  +2.074  
+6.700  -0.475  -0.475  -0.474  -0.471  -0.462  -0.435  -0.359  -0.198  +0.048  +0.319  +0.556  +0.750  +0.931  +1.137  +1.383  +1.660  +1.938  
+6.800  -0.477  -0.477  -0.476  -0.474  -0.468  -0.449  -0.396  -0.279  -0.089  +0.137  +0.355  +0.551  +0.749  +0.978  +1.248  +1.534  +1.792  
+6.900  -0.478  -0.478  -0.477  -0.475  -0.471  -0.458  -0.421  -0.337  -0.193  -0.007  +0.190  +0.388  +0.601  +0.849  +1.128  +1.410  +1.647  
+7.000  -0.480  -0.480  -0.479  -0.476  -0.471  -0.460  -0.433  -0.373  -0.266  -0.115  +0.066  +0.270  +0.493  +0.742  +1.020  +1.285  +1.513  
+7.100  -0.483  -0.482  -0.482  -0.480  -0.474  -0.460  -0.433  -0.382  -0.297  -0.171  -0.003  +0.190  +0.400  +0.638  +0.909  +1.161  +1.336  
+7.200  -0.486  -0.486  -0.485  -0.484  -0.480  -0.467  -0.438  -0.386  -0.308  -0.195  -0.050  +0.116  +0.302  +0.533  +0.787  +9.999  +9.999  
+7.300  -0.490  -0.490  -0.490  -0.489  -0.486  -0.477  -0.454  -0.406  -0.329  -0.224  -0.105  +0.030  +0.199  +0.420  +0.681  +9.999  +9.999  
+7.400  -0.495  -0.495  -0.495  -0.494  -0.492  -0.487  -0.471  -0.434  -0.367  -0.276  -0.177  -0.061  +0.102  +0.319  +0.567  +9.999  +9.999  
+7.500  -0.501  -0.501  -0.501  -0.501  -0.499  -0.495  -0.485  -0.460  -0.409  -0.336  -0.251  -0.144  +0.010  +0.226  +9.999  +9.999  +9.999  
+7.600  -0.508  -0.508  -0.509  -0.509  -0.508  -0.505  -0.498  -0.481  -0.444  -0.387  -0.315  -0.217  -0.073  +0.127  +9.999  +9.999  +9.999  
+7.700  -0.518  -0.518  -0.518  -0.518  -0.517  -0.516  -0.511  -0.498  -0.471  -0.429  -0.370  -0.283  -0.153  +0.026  +9.999  +9.999  +9.999  
+7.800  -0.530  -0.530  -0.530  -0.530  -0.529  -0.529  -0.525  -0.515  -0.495  -0.463  -0.418  -0.346  -0.234  -0.088  +9.999  +9.999  +9.999  
+7.900  -0.544  -0.544  -0.545  -0.545  -0.544  -0.544  -0.541  -0.533  -0.519  -0.497  -0.465  -0.411  -0.318  +9.999  +9.999  +9.999  +9.999  
+8.000  -0.560  -0.560  -0.560  -0.561  -0.561  -0.560  -0.558  -0.552  -0.542  -0.530  -0.512  -0.475  -0.403  +9.999  +9.999  +9.999  +9.999  
+8.100  -0.580  -0.580  -0.580  -0.580  -0.581  -0.581  -0.578  -0.574  -0.569  -0.566  -0.562  -0.544  -0.500  +9.999  +9.999  +9.999  +9.999  
+8.300  -0.633  -0.633  -0.634  -0.634  -0.634  -0.633  -0.633  -0.633  -0.638  -0.654  -0.678  -0.698  -0.716  +9.999  +9.999  +9.999  +9.999  
+8.500  -0.704  -0.704  -0.704  -0.704  -0.704  -0.704  -0.705  -0.710  -0.724  -0.759  -0.798  -0.915  +9.999  +9.999  +9.999  +9.999  +9.999  
+8.700  +9.999  +9.999  +9.999  +9.999  +9.999  +9.999  +9.999  +9.999  +9.999  +9.999  +9.999  +9.999  +9.999  +9.999  +9.999  +9.999  +9.999  
