2E-02 13   0.7   0.273424   0.026576       1.492       3.0       1.0       1.0
2E-02 14   0.7   0.266847   0.033153       2.484       5.0       1.0       1.0
2E-02 15   0.8   0.180000   0.020000       0.501       1.0       1.0       1.0
2E-02 16   0.8   0.178356   0.021644       0.749       1.5       1.0       1.0
2E-02 17   0.8   0.177369   0.022631       0.898       1.8       1.0       1.0
2E-02 18   0.8   0.176712   0.023288       0.997       2.0       1.0       1.0
2E-02 19   0.8   0.176054   0.023946       1.096       2.2       1.0       1.0
2E-02 20   0.8   0.173424   0.026576       1.492       3.0       1.0       1.0
2E-02 21   0.8   0.166847   0.033153       2.484       5.0       1.0       1.0
2E-02 22   0.5   0.479468   0.020532       0.501       1.0       1.5       1.0
2E-02 23   0.5   0.477824   0.022176       0.749       1.5       1.5       1.0
2E-02 24   0.5   0.476837   0.023163       0.898       1.8       1.5       1.0
2E-02 25   0.5   0.476179   0.023821       0.997       2.0       1.5       1.0
2E-02 26   0.5   0.475522   0.024478       1.096       2.2       1.5       1.0
2E-02 27   0.5   0.472891   0.027109       1.492       3.0       1.5       1.0
2E-02 28   0.5   0.466315   0.033685       2.484       5.0       1.5       1.0
2E-02 29   0.7   0.279468   0.020532       0.501       1.0       1.5       1.0
2E-02 30   0.7   0.277824   0.022176       0.749       1.5       1.5       1.0
2E-02 31   0.7   0.276837   0.023163       0.898       1.8       1.5       1.0
2E-02 32   0.7   0.276179   0.023821       0.997       2.0       1.5       1.0
2E-02 33   0.7   0.275522   0.024478       1.096       2.2       1.5       1.0
2E-02 34   0.7   0.272891   0.027109       1.492       3.0       1.5       1.0
2E-02 35   0.7   0.266315   0.033685       2.484       5.0       1.5       1.0
2E-02 36   0.8   0.179468   0.020532       0.501       1.0       1.5       1.0
2E-02 37   0.8   0.177824   0.022176       0.749       1.5       1.5       1.0
2E-02 38   0.8   0.176837   0.023163       0.898       1.8       1.5       1.0
2E-02 39   0.8   0.176179   0.023821       0.997       2.0       1.5       1.0
2E-02 40   0.8   0.175522   0.024478       1.096       2.2       1.5       1.0
2E-02 41   0.8   0.172891   0.027109       1.492       3.0       1.5       1.0
2E-02 42   0.8   0.166315   0.033685       2.484       5.0       1.5       1.0
2E-02 43   0.5   0.478935   0.021065       0.501       1.0       2.0       1.0
2E-02 44   0.5   0.477291   0.022709       0.749       1.5       2.0       1.0
2E-02 45   0.5   0.476305   0.023695       0.898       1.8       2.0       1.0
2E-02 46   0.5   0.475647   0.024353       0.997       2.0       2.0       1.0
2E-02 47   0.5   0.474989   0.025011       1.096       2.2       2.0       1.0
2E-02 48   0.5   0.472359   0.027641       1.492       3.0       2.0       1.0
2E-02 49   0.5   0.465783   0.034217       2.484       5.0       2.0       1.0
2E-02 50   0.7   0.278935   0.021065       0.501       1.0       2.0       1.0
2E-02 51   0.7   0.277291   0.022709       0.749       1.5       2.0       1.0
2E-02 52   0.7   0.276305   0.023695       0.898       1.8       2.0       1.0
2E-02 53   0.7   0.275647   0.024353       0.997       2.0       2.0       1.0
2E-02 54   0.7   0.274989   0.025011       1.096       2.2       2.0       1.0
2E-02 55   0.7   0.272359   0.027641       1.492       3.0       2.0       1.0
2E-02 56   0.7   0.265783   0.034217       2.484       5.0       2.0       1.0
2E-02 57   0.8   0.178935   0.021065       0.501       1.0       2.0       1.0
2E-02 58   0.8   0.177291   0.022709       0.749       1.5       2.0       1.0
2E-02 59   0.8   0.176305   0.023695       0.898       1.8       2.0       1.0
2E-02 60   0.8   0.175647   0.024353       0.997       2.0       2.0       1.0
2E-02 61   0.8   0.174989   0.025011       1.096       2.2       2.0       1.0
2E-02 62   0.8   0.172359   0.027641       1.492       3.0       2.0       1.0
2E-02 63   0.8   0.165783   0.034217       2.484       5.0       2.0       1.0
1E-02  1   0.5   0.490000   0.010000       0.501       1.0       1.0       1.0
1E-02  2   0.5   0.489178   0.010822       0.749       1.5       1.0       1.0
1E-02  3   0.5   0.488685   0.011315       0.898       1.8       1.0       1.0
1E-02  4   0.5   0.488356   0.011644       0.997       2.0       1.0       1.0
1E-02  5   0.5   0.488027   0.011973       1.096       2.2       1.0       1.0
1E-02  6   0.5   0.483424   0.016576       2.484       5.0       1.0       1.0
1E-02  7   0.5   0.475203   0.024797       4.962      10.0       1.0       1.0
1E-02  8   0.7   0.290000   0.010000       0.501       1.0       1.0       1.0
1E-02  9   0.7   0.289178   0.010822       0.749       1.5       1.0       1.0
1E-02 10   0.7   0.288685   0.011315       0.898       1.8       1.0       1.0
1E-02 11   0.7   0.288356   0.011644       0.997       2.0       1.0       1.0
1E-02 12   0.7   0.288027   0.011973       1.096       2.2       1.0       1.0
1E-02 13   0.7   0.283424   0.016576       2.484       5.0       1.0       1.0
1E-02 14   0.7   0.275203   0.024797       4.962      10.0       1.0       1.0
1E-02 15   0.8   0.190000   0.010000       0.501       1.0       1.0       1.0
1E-02 16   0.8   0.189178   0.010822       0.749       1.5       1.0       1.0
1E-02 17   0.8   0.188685   0.011315       0.898       1.8       1.0       1.0
1E-02 18   0.8   0.188356   0.011644       0.997       2.0       1.0       1.0
1E-02 19   0.8   0.188027   0.011973       1.096       2.2       1.0       1.0
1E-02 20   0.8   0.183424   0.016576       2.484       5.0       1.0       1.0
1E-02 21   0.8   0.175203   0.024797       4.962      10.0       1.0       1.0
1E-02 22   0.5   0.489734   0.010266       0.501       1.0       1.5       1.0
1E-02 23   0.5   0.488912   0.011088       0.749       1.5       1.5       1.0
1E-02 24   0.5   0.488419   0.011581       0.898       1.8       1.5       1.0
1E-02 25   0.5   0.488090   0.011910       0.997       2.0       1.5       1.0
1E-02 26   0.5   0.487761   0.012239       1.096       2.2       1.5       1.0
1E-02 27   0.5   0.483157   0.016843       2.484       5.0       1.5       1.0
1E-02 28   0.5   0.474937   0.025063       4.962      10.0       1.5       1.0
